	sdd(mm)	db_x_pos	db_y_pos
0	1.6	499.5091436226982	919.9455067319905
1	1.7000000000000002	499.2163355154163	918.8157128822452
2	1.85	499.8214458773984	917.1974599318568
3	2.0	501.1343147878383	916.3544071404766
4	2.2	502.35705262833744	916.1820412655928
5	2.35	502.04399148755505	916.1416422193071
6	2.5	501.01830671857675	915.9998323682069
7	2.7	500.2396266536582	916.1005400902395
8	2.85	499.3939520042014	916.7493334145299
9	3.0	498.8267221448153	917.1300502467518
10	3.2	498.31173958244176	916.9218420171597
11	3.35	498.21007321385844	915.9760973576418
12	3.5	497.4400273302172	915.6654118246106
13	3.7	497.85288623353307	916.2983357020449
14	3.85	498.7014386381642	917.1080978575569
15	4.0	499.2287840695751	917.9479117650862
16	4.2	499.879282796112	917.911539468043
17	4.35	500.0344474585193	917.771738943419
18	4.5	500.6198497707332	918.5415573787247
19	4.7	501.12864682346327	918.6709081677502
20	4.85	501.06950163645564	918.0465445437218
21	5.0	501.339261672252	917.197287402295
22	5.2	501.97550117694396	917.2810897328941
23	5.35	502.2566901697946	917.8223455987353
24	5.5	502.26779909131847	917.4725949375934
25	5.7	502.80816611650175	916.0097306906669
26	5.85	503.498887993753	915.4188235120683
27	6.0	503.95491758248903	915.560708282487
28	6.2	504.63332868379325	915.6052871812827
29	6.35	504.9387916781809	915.9345652305655
30	6.5	505.4806805977931	916.1416735741335
31	6.7	506.1153699999608	917.5790682355486
32	6.85	506.8904039468466	919.1226993491997
33	7.0	507.62354715090896	920.0076413233995
34	7.2	508.20224766099363	919.260569700223
35	7.35	508.38320727432694	918.0068098139479
36	7.5	508.48887671198764	917.4127837952858
37	7.7	507.7380101123599	916.9138364601514
38	7.85	506.58590461549284	916.4147073311631
39	8.0	504.8313637123342	915.7786431243281
40	8.15	503.2876531480683	915.5953585311131
41	8.3	501.7513955470615	916.11701663293
